Genus,Size,Bleached,Dead,Site,Transect,Count,TransectLength
Pocillopora,32,0,0,LTER_Exp,2,1,15
Pocillopora,32,0,100,LTER_Exp,2,1,15
Pocillopora,32,0,5,LTER_Exp,2,1,15
Pocillopora,32,0,70,LTER_Exp,2,1,15
Pocillopora,32,0,100,LTER_Exp,2,1,15
Pocillopora,32,0,100,LTER_Exp,2,1,15
Pocillopora,31,0,100,LTER_Exp,2,1,15
Pocillopora,31,0,100,LTER_Exp,2,1,15
Pocillopora,31,0,100,LTER_Exp,2,1,15
Pocillopora,30,0,0,LTER_Exp,2,1,15
Pocillopora,30,0,0,LTER_Exp,2,1,15
Pocillopora,30,0,0,LTER_Exp,2,1,15
Pocillopora,30,0,100,LTER_Exp,2,1,15
Pocillopora,30,0,10,LTER_Exp,2,1,15
Pocillopora,30,0,100,LTER_Exp,2,1,15
Pocillopora,30,0,95,LTER_Exp,2,1,15
Pocillopora,30,0,0,LTER_Exp,2,1,15
Pocillopora,30,0,100,LTER_Exp,2,1,15
Pocillopora,28,0,30,LTER_Exp,2,1,15
Pocillopora,28,0,0,LTER_Exp,2,1,15
Pocillopora,28,0,100,LTER_Exp,2,1,15
Pocillopora,28,0,20,LTER_Exp,2,1,15
Pocillopora,27,0,10,LTER_Exp,2,1,15
Pocillopora,27,0,0,LTER_Exp,2,1,15
Pocillopora,27,0,0,LTER_Exp,2,1,15
Pocillopora,27,0,0,LTER_Exp,2,1,15
Pocillopora,27,0,0,LTER_Exp,2,1,15
Pocillopora,27,0,0,LTER_Exp,2,1,15
Pocillopora,27,0,40,LTER_Exp,2,1,15
Pocillopora,27,0,0,LTER_Exp,2,1,15
Pocillopora,27,0,95,LTER_Exp,2,1,15
Pocillopora,27,0,0,LTER_Exp,2,1,15
Pocillopora,27,0,10,LTER_Exp,2,1,15
Pocillopora,26,0,0,LTER_Exp,2,1,15
Pocillopora,26,0,0,LTER_Exp,2,1,15
Pocillopora,26,0,100,LTER_Exp,2,1,15
Pocillopora,26,0,100,LTER_Exp,2,1,15
Pocillopora,25,0,0,LTER_Exp,2,1,15
Pocillopora,25,0,0,LTER_Exp,2,1,15
Pocillopora,25,0,0,LTER_Exp,2,1,15
Pocillopora,25,0,0,LTER_Exp,2,1,15
Pocillopora,25,0,40,LTER_Exp,2,1,15
Pocillopora,25,0,100,LTER_Exp,2,1,15
Pocillopora,25,0,0,LTER_Exp,2,1,15
Pocillopora,25,0,0,LTER_Exp,2,1,15
Pocillopora,25,0,5,LTER_Exp,2,1,15
Pocillopora,25,0,70,LTER_Exp,2,1,15
Pocillopora,25,0,0,LTER_Exp,2,1,15
Pocillopora,24,0,5,LTER_Exp,2,1,15
Pocillopora,24,0,0,LTER_Exp,2,1,15
Pocillopora,24,0,100,LTER_Exp,2,1,15
Pocillopora,24,0,10,LTER_Exp,2,1,15
Pocillopora,24,0,60,LTER_Exp,2,1,15
Pocillopora,24,0,0,LTER_Exp,2,1,15
Pocillopora,24,0,0,LTER_Exp,2,1,15
Pocillopora,24,0,0,LTER_Exp,2,2,15
Pocillopora,24,0,0,LTER_Exp,2,1,15
Pocillopora,23,0,0,LTER_Exp,2,1,15
Pocillopora,23,0,30,LTER_Exp,2,1,15
Pocillopora,23,0,0,LTER_Exp,2,1,15
Pocillopora,23,0,100,LTER_Exp,2,2,15
Pocillopora,23,0,0,LTER_Exp,2,1,15
Pocillopora,23,0,0,LTER_Exp,2,1,15
Pocillopora,23,0,0,LTER_Exp,2,1,15
Pocillopora,23,0,0,LTER_Exp,2,1,15
Pocillopora,23,0,100,LTER_Exp,2,1,15
Pocillopora,22,0,0,LTER_Exp,2,1,15
Pocillopora,22,0,10,LTER_Exp,2,1,15
Pocillopora,22,0,0,LTER_Exp,2,1,15
Pocillopora,22,0,0,LTER_Exp,2,1,15
Pocillopora,22,0,0,LTER_Exp,2,1,15
