Observer,Site,Genus,Size,Bleached,Dead,Transect,TransectLength
KS,LTER_Exp,Pocillopora,16,0,0,1,20
KS,LTER_Exp,Pocillopora,15,0,0,1,20
KS,LTER_Exp,Pocillopora,28,0,0,1,20
KS,LTER_Exp,Pocillopora,30,0,70,1,20
KS,LTER_Exp,Pocillopora,33,0,100,1,20
KS,LTER_Exp,Pocillopora,30,20,65,1,20
KS,LTER_Exp,Acropora,20,0,100,1,20
KS,LTER_Exp,Pocillopora,35,0,100,1,20
KS,LTER_Exp,Pocillopora,29,0,0,1,20
KS,LTER_Exp,Pocillopora,30,0,100,1,20
KS,LTER_Exp,Acropora,27,0,0,1,20
KS,LTER_Exp,Pocillopora,15,0,0,1,20
KS,LTER_Exp,Pocillopora,32,0,0,1,20
KS,LTER_Exp,Pocillopora,22,0,0,1,20
KS,LTER_Exp,Acropora,28,0,0,1,20
KS,LTER_Exp,Pocillopora,29,0,0,1,20
KS,LTER_Exp,Pocillopora,33,0,100,1,20
KS,LTER_Exp,Pocillopora,45,0,100,1,20
KS,LTER_Exp,Pocillopora,16,0,0,1,20
KS,LTER_Exp,Pocillopora,10,0,0,1,20
KS,LTER_Exp,Acropora,28,0,0,1,20
KS,LTER_Exp,Pocillopora,21,0,0,1,20
KS,LTER_Exp,Acropora,19,0,100,1,20
KS,LTER_Exp,Pocillopora,39,0,100,1,20
KS,LTER_Exp,Pocillopora,28,0,100,1,20
KS,LTER_Exp,Pocillopora,16,0,0,1,20
KS,LTER_Exp,Acropora,27,30,0,1,20
KS,LTER_Exp,Pocillopora,25,0,0,1,20
KS,LTER_Exp,Pocillopora,31,0,75,1,20
KS,LTER_Exp,Pocillopora,22,0,0,1,20
KS,LTER_Exp,Acropora,26,0,100,1,20
KS,LTER_Exp,Pocillopora,10,0,0,1,20
KS,LTER_Exp,Pocillopora,13,0,0,1,20
KS,LTER_Exp,Pocillopora,15,0,0,1,20
KS,LTER_Exp,Pocillopora,15,0,0,1,20
KS,LTER_Exp,Pocillopora,23,0,100,1,20
KS,LTER_Exp,Pocillopora,27,0,100,1,20
KS,LTER_Exp,Pocillopora,20,0,100,1,20
KS,LTER_Exp,Pocillopora,43,10,0,1,20
KS,LTER_Exp,Pocillopora,29,0,0,1,20
KS,LTER_Exp,Pocillopora,20,0,0,1,20
KS,LTER_Exp,Pocillopora,22,0,0,1,20
KS,LTER_Exp,Pocillopora,17,0,0,1,20
KS,LTER_Exp,Pocillopora,18,0,0,1,20
KS,LTER_Exp,Pocillopora,38,0,50,1,20
KS,LTER_Exp,Pocillopora,7,0,0,1,20
KS,LTER_Exp,Acropora,23,0,0,1,20
KS,LTER_Exp,Pocillopora,29,0,0,1,20
KS,LTER_Exp,Pocillopora,37,0,100,1,20
KS,LTER_Exp,Pocillopora,30,0,0,1,20
KS,LTER_Exp,Pocillopora,17,0,100,1,20
KS,LTER_Exp,Pocillopora,45,0,75,1,20
KS,LTER_Exp,Pocillopora,40,0,0,1,20
KS,LTER_Exp,Pocillopora,20,0,0,1,20
KS,LTER_Exp,Pocillopora,15,0,0,1,20
KS,LTER_Exp,Pocillopora,30,0,55,1,20
